"primary_key","r_age_val","cust_gender_cd","cust_language_cd","cust_mkt_segm_desc","trf_mdl_phonedeal_cd","count_orange","cust_total_mobile_qty","voice_oob_mean","voice_oob_sum","voice_oob_nat_mean","voice_oob_nat_sum","mean_bill_rev_vs_trf_plan","tenure_days","days_since_moving","nb_cont","avg_tp_churn"
100001,0.713838045950979,"F","NL","MASS",1,0,3,0,0,0,0,0.826446666666667,6024,365,51,0.0125739330241266
100002,0.419197055976838,"F","FR","MASS",1,0,1,0,0,0,0,1.07408,5536,365,59,0.0125739330241266
100003,0.886683018878102,"F","NL","MASS",0,0,2,0,0,0,0,0.92154,6804,365,20,0.0201295465869457
100004,0.123176012421027,"M","NL","MASS",0,0,1,6.8458,20.5374,0,0,1.03448974358974,7424,365,79,0.0297469865139038
100005,0.550202378770337,"M","FR","MASS",1,0,1,0,0,0,0,0.669156,879,365,45,0.00652020082892476
100006,0.132953437045217,"F","FR","MASS",0,0,1,22.8202,68.4606,22.8202,68.4606,1.9413366665,1349,365,33,0.0217371614889956
100007,0.554482304723933,"F","FR","MASS",1,0,2,0.35813333,1.0744,0,0,0.836678095142857,852,365,71,0.0216953741472364
100008,0.427421999396756,"M","NL","MASS",0,0,1,0,0,0,0,0.8516472225,1575,365,11,0.0212201105862536
100009,0.545824784087017,"M","NL","MASS",0,1,3,0,0,0,0,0.921251111333333,174,365,31,0.0288548241659152
100010,0.610719728283584,"M","NL","SOHO",0,0,4,0.31633333,0.949,0,0,0.881691111333333,3134,365,142,0.0256037033501957
100011,0.125308378832415,"M","FR","MASS",1,2,1,0,0,0,0,0.8766116665,579,365,32,0.0170355247039608
100012,0.298627475276589,"F","FR","MASS",0,0,2,6.74813333,20.2444,6.74813333,20.2444,1.1826166665,5610,365,76,0.0217371614889956
100013,0.0186676380690187,"M","FR","MASS",1,0,1,4.19726667,12.5918,4.19726667,12.5918,0.952045714285714,297,365,58,0.0216953741472364
100014,0.630802531028166,"Unknown","NL","MASS",0,2,1,0,0,0,0,0.826446153846154,201,365,56,0.0297469865139038
100015,0.442949744872749,"F","FR","MASS",0,1,3,0,0,0,0,0.91143333375,1056,288,52,0.0165509521461601
100016,0.740824947366491,"M","FR","MASS",1,0,3,0,0,0,0,0.8473,6430,365,34,0.00781822623992182
100017,0.9490991323255,"F","NL","MASS",0,0,2,0,0,0,0,1.09411944416667,2960,365,51,0.0212201105862536
100018,0.187007715459913,"M","NL","MASS",0,0,1,0,0,0,0,0.826448,5077,365,22,0.0287215542549412
100019,0.163999606622383,"M","NL","MASS",0,0,1,0,0,0,0,0.826445,1336,365,1,0.025597898714345
100020,0.462195292348042,"F","FR","MASS",1,0,1,0,0,0,0,0.9235106668,3392,365,60,0.0185643833235569
100021,0.167919168481603,"F","FR","MASS",0,1,1,0,0,0,0,0.569242222166667,109,365,22,0.0231284236153378
100022,0.0232296520844102,"M","NL","MASS",0,0,2,0,0,0,0,1.01792444466667,1601,365,28,0.0288548241659152
100023,0.522603728342801,"M","NL","MASS",1,0,2,0,0,0,0,0.830846666666667,1937,365,19,0.0125739330241266
100024,0.348104086704552,"F","NL","MASS",0,0,1,0.06133333,0.184,0,0,1.892122222,956,365,18,0.0254639285841984
100025,0.826659886632115,"M","NL","SOHO",0,0,4,0,0,0,0,4.02876444466667,137,365,65,0.0288548241659152
100026,0.210682477103546,"Unknown","FR","MASS",0,0,3,0,0,0,0,0.808675555333333,5292,365,34,0.0288548241659152
100027,0.77020979556255,"M","NL","MASS",0,1,1,0,0,0,0,0.82645,1168,365,32,0.0165509521461601
100028,0.530215787701309,"Unknown","NL","MASS",0,0,2,3.7066,11.1198,0,0,1.07355333333333,2134,365,42,0.0254639285841984
100029,0.941062234342098,"M","FR","MASS",0,0,3,0,0,0,0,0.860211110833333,6880,365,52,0.0212201105862536
100030,0.831938893534243,"F","NL","MASS",1,0,2,0,0,0,0,0.826557142857143,2848,365,23,0.0216953741472364
100031,0.231603685067967,"Unknown","FR","SOHO",0,0,1,0,0,0,0,0.9556573332,3493,365,105,0.0336836534099501
100032,0.460258490173146,"M","FR","MASS",1,0,1,0,0,0,0,1.226445,280,365,50,0.0170355247039608
100033,0.595034681260586,"M","FR","MASS",0,0,2,0,0,0,0,0.826446666666667,5169,365,28,0.0256037033501957
100034,0.766771424328908,"M","FR","MASS",1,1,3,0,0,0,0,0.826445,1188,365,26,0.0170355247039608
100035,0.395967443240806,"M","FR","MASS",0,0,1,0,0,0,0,1.6567625,4166,365,37,0.0167189354127818
100036,0.904062999179587,"M","NL","MASS",1,0,1,0,0,0,0,1.71533247871795,311,365,78,0.01903440071379
100037,0.168221821309999,"F","FR","MASS",1,0,2,2.89263333,8.6779,0,0,1.53470761914286,567,365,12,0.00956684325334995
100038,0.0120894119609147,"M","NL","MASS",0,0,1,0,0,0,0,0.6300816665,5880,365,10,0.0217371614889956
100039,0.466768756741658,"M","FR","MASS",0,0,1,0,0,0,0,0.908403333333333,2628,365,20,0.0277732662010719
100040,0.439533086493611,"F","NL","MASS",0,0,1,0,0,0,0,0.90909,5746,365,27,0.0226537216828479
100041,0.805460110772401,"F","FR","MASS",1,0,3,0,0,0,0,0.826446666666667,1771,365,9,0.0125739330241266
100042,0.144262737594545,"F","FR","MASS",1,0,1,0,0,0,0,0.826445,356,365,35,0.0170355247039608
100043,0.932885878486559,"M","FR","MASS",1,0,1,0.66566667,1.997,0.66566667,1.997,0.845464762,532,365,93,0.0216953741472364
100044,0.536704518366605,"F","NL","MASS",0,0,1,0.17906667,0.5372,0,0,0.841363889166667,1931,365,52,0.0212201105862536
100045,0.144977904856205,"F","NL","MASS",0,0,1,2.341,7.023,2.341,7.023,1.119075,2287,365,29,0.0165509521461601
100046,0.481575898593292,"M","NL","MASS",0,0,2,7.46996667,22.4099,7.46996667,22.4099,1.1279133332,1584,365,64,0.0287215542549412
100047,0.195613503688946,"F","NL","MASS",0,0,1,0.35813333,1.0744,0,0,1.295597778,5470,365,40,0.0288548241659152
100048,0.0478042375762016,"F","NL","MASS",1,0,2,0.17906667,0.5372,0,0,1.45035904771429,932,365,29,0.00956684325334995
100049,0.22198059852235,"M","NL","MASS",0,1,1,0,0,0,0,0.845308333333333,1489,365,15,0.0212201105862536
100050,0.628152605379,"M","NL","MASS",0,0,3,0,0,0,0,0.82645,128,365,4,0.0167189354127818
100051,0.809450738132,"M","FR","MASS",0,0,1,0,0,0,0,0.82873333375,4140,365,24,0.0165509521461601
100052,0.488214073935524,"M","FR","MASS",1,0,2,12.21556667,36.6467,12.21556667,36.6467,1.228872,1496,365,23,0.00652020082892476
100053,0.95311378268525,"M","FR","MASS",1,1,1,0,0,0,0,0.9589706668,528,365,71,0.0185643833235569
100054,0.524229931645095,"F","NL","MASS",0,1,3,0,0,0,0,0.926155555333333,1132,365,24,0.0254639285841984
100055,0.667910382384434,"F","NL","MASS",0,0,1,0.39946667,1.1984,0,0,0.92590416625,5332,365,42,0.0165509521461601
100056,0.408349052537233,"F","FR","MASS",1,0,1,0,0,0,0,0.826445454545454,2830,365,49,0.0282138544296849
100057,0.380473731085658,"F","NL","MASS",0,0,3,0,0,0,0,0.6797416665,1351,365,40,0.0217371614889956
100058,0.917509871535003,"M","NL","MASS",0,0,3,0.20666667,0.62,0,0,1.04687171727273,1225,365,28,0.0356299212598425
100059,0.170708124758676,"F","NL","MASS",0,0,1,0,0,0,0,0.93855,6604,365,19,0.0165509521461601
100060,0.54291079309769,"M","NL","MASS",1,0,3,0,0,0,0,1.06967090909091,3038,365,43,0.0282138544296849
100061,0.978651294717565,"F","NL","MASS",1,0,1,0,0,0,0,0.848668888666667,680,365,8,0.0125739330241266
100062,0.219419842353091,"F","FR","MASS",1,1,1,0,0,0,0,0.826444,327,365,39,0.0185643833235569
100063,0.00106335920281708,"F","FR","MASS",0,0,1,13.0015,39.0045,13.0015,39.0045,1.572,5464,365,18,0.0201295465869457
100064,0.791461545275524,"F","NL","MASS",1,0,3,15.94153333,47.8246,0.44766667,1.343,2.3545066668,3651,365,270,0.0185643833235569
100065,0.507973067695275,"M","NL","MASS",1,0,2,0,0,0,0,0.946969523857143,279,365,90,0.0203982515784361
100066,0.960461047943681,"M","FR","MASS",0,0,1,0,0,0,0,0.859944444666667,5908,365,24,0.0254639285841984
100067,0.62683865102008,"F","NL","MASS",1,0,1,0,0,0,0,0.839725,6517,365,32,0.0170355247039608
100068,0.0964070956688374,"F","FR","MASS",0,0,1,0,0,0,0,0.834980555833333,2818,365,12,0.0212201105862536
100069,0.494307948276401,"F","NL","MASS",0,0,1,0,0,0,0,0.82645,5898,365,8,0.0165509521461601
100070,0.641819645650685,"M","FR","MASS",1,0,1,5.1015,15.3045,4.826,14.478,1.1112133332,1688,365,114,0.00652020082892476
100071,0.704149287892506,"M","FR","MASS",1,0,1,0,0,0,0,1.0931106668,333,365,51,0.0185643833235569
100072,0.94400366442278,"M","FR","MASS",0,0,3,0,0,0,0,1.2553516665,2568,365,12,0.0217371614889956
100073,0.312361755874008,"F","NL","MASS",1,1,2,0,0,0,0,0.928533333428571,835,365,65,0.00956684325334995
100074,0.731703283498064,"M","NL","MASS",0,0,2,2.5947,7.7841,2.5947,7.7841,1.51068,1816,365,8,0.0158383397050792
100075,0.736916818190366,"F","FR","MASS",0,0,4,6.22393333,18.6718,6.22393333,18.6718,2.13026444466667,4129,365,32,0.0254639285841984
100076,0.00189406354911625,"F","FR","MASS",1,0,1,0,0,0,0,1.06107142857143,6356,91,50,0.0203982515784361
100077,0.647361813811585,"M","NL","MASS",0,0,1,0,0,0,0,1.4977773332,1328,365,38,0.0336836534099501
100078,0.95460193650797,"M","FR","MASS",1,0,1,10.6965,32.0895,10.6965,32.0895,1.106395238,868,365,123,0.00956684325334995
100079,0.59517390280962,"F","FR","MASS",0,1,1,0.551,1.653,0,0,0.8698213332,3939,365,51,0.0287215542549412
100080,0.539703847374767,"M","NL","MASS",1,0,1,0,0,0,0,0.668673333428571,115,365,14,0.00956684325334995
100081,0.825934394728392,"M","FR","MASS",0,0,2,0,0,0,0,0.829475,3255,365,37,0.0212201105862536
100082,0.995560713112354,"M","NL","MASS",0,0,1,0,0,0,0,0.9375527775,1063,197,4,0.0212201105862536
100083,0.164573146263137,"M","FR","MASS",1,1,1,0,0,0,0,0.8371146668,383,137,55,0.00652020082892476
100084,0.552095595281571,"F","NL","MASS",1,0,1,0,0,0,0,0.8491773332,6163,365,49,0.0185643833235569
