primary_key,Probability_of_Churn
100001,0.005710153
100002,0.00940078
100003,0.011469879
100004,0.020087472
100005,0.011937091
100006,0.046539514
100007,0.015868729
100008,0.025243094
100009,0.037453435
100010,0.014389894
100011,0.042543842
100012,0.016714119
100013,0.023750146
100014,0.109428343
100015,0.008713714
100016,0.004371164
100017,0.018451239
100018,0.023158302
100019,0.029163448
100020,0.014054763
100021,0.044842849
100022,0.026163208
100023,0.010580355
100024,0.032239721
100025,0.022700234
100026,0.015178761
100027,0.0368997
100028,0.025256915
100029,0.009294856
100030,0.012901812
100031,0.037226105
100032,0.018542649
100033,0.015510446
100034,0.015631131
100035,0.017321381
100036,0.022666495
100037,0.010151392
100038,0.016521544
100039,0.026925274
100040,0.017735816
100041,0.007651565
100042,0.017176701
100043,0.022556146
100044,0.025515415
100045,0.021923654
100046,0.033610867
100047,0.023131365
100048,0.010860362
100049,0.040232778
100050,0.015342971
100051,0.016222177
100052,0.011921468
100053,0.030778334
100054,0.029712993
100055,0.015521616
100056,0.019865361
100057,0.01646926
100058,0.026813357
100059,0.013167949
100060,0.013075922
100061,0.014809425
100062,0.028832892
100063,0.022246138
100064,0.012415742
100065,0.018162461
100066,0.018279458
100067,0.009956177
100068,0.020542853
100069,0.013831206
100070,0.014247192
100071,0.019323081
100072,0.013885812
100073,0.017995624
100074,0.017972389
100075,0.013084718
100076,0.000390221
100077,0.04177047
100078,0.020153435
100079,0.039464487
100080,0.014403154
100081,0.016517222
100082,0.003485161
100083,0.001277484
100084,0.011141806
100085,0.022072523
100086,0.000505189
100087,0.014549161
100088,0.043088321
100089,0.022016442
100090,0.019004772
100091,0.047590182
100092,0.022688625
100093,0.014245861
100094,0.016735583
100095,0.029708054
100096,0.048496554
100097,0.014368661
100098,0.015935514
100099,0.015947991
100100,0.018457288
100101,0.025293945
100102,0.047866342
100103,0.050297894
100104,0.01616695
100105,0.016668742
100106,0.028501834
100107,0.025199595
100108,0.032490568
100109,0.010385801
100110,0.01740568
100111,0.02206803
100112,0.021257506
100113,0.014879731
100114,0.021093392
100115,0.013522044
100116,0.023461733
100117,0.00685493
100118,0.010283507
100119,0.02881303
100120,0.012299076
100121,0.016826146
100122,0.050327922
100123,0.011533606
100124,0.018964359
100125,0.02450664
100126,0.023040716
100127,0.016903845
100128,0.054596305
100129,0.012642088
100130,0.012854284
100131,0.047757183
100132,0.02511976
100133,0.020073575
100134,0.024089492
100135,0.013833656
100136,0.059307319
100137,0.019701377
100138,0.020745561
100139,0.012452761
100140,0.012514332
100141,0.077084326
100142,0.025979744
100143,0.012030029
100144,0.016833598
100145,0.020702041
100146,0.012325223
100147,0.016737315
100148,0.014580041
100149,0.032150585
100150,0.030119922
100151,0.011488349
100152,0.010058775
100153,0.019065716
100154,0.020002428
100155,0.042689543
100156,0.013603815
100157,0.04462344
100158,0.014172343
100159,0.017759834
100160,0.030241966
100161,0.04083519
100162,0.008580366
100163,0.034237097
100164,0.038991238
100165,0.014674021
